Freq.	V(v1)	V(v2)
Step Information: X=100  (Run: 1/4)
1.58489319246111e-002	(-1.26720664785554e-005dB,-3.78013327345195e-004°)	(-2.47094486778171e-005dB,-1.17904309517573e-002°)
1.99526231496888e-002	(-1.26721211685388e-005dB,-4.75890583790771e-004°)	(-2.47598747399439e-005dB,-1.48432731134100e-002°)
2.51188643150958e-002	(-1.26722078385606e-005dB,-5.99110749165843e-004°)	(-2.48397946416437e-005dB,-1.86865736612809e-002°)
3.16227766016838e-002	(-1.26723452023870e-005dB,-7.54235746600090e-004°)	(-2.49664591533063e-005dB,-2.35250023310284e-002°)
3.98107170553497e-002	(-1.26725629112022e-005dB,-9.49526547870756e-004°)	(-2.51672088788017e-005dB,-2.96162230265289e-002°)
5.01187233627273e-002	(-1.26729079519304e-005dB,-1.19538310027243e-003°)	(-2.54853757292110e-005dB,-3.72846153294659e-002°)
6.30957344480194e-002	(-1.26734548074053e-005dB,-1.50489816173183e-003°)	(-2.59896361869033e-005dB,-4.69385488293299e-002°)
7.94328234724282e-002	(-1.26743215143741e-005dB,-1.89455453790582e-003°)	(-2.67888350984545e-005dB,-5.90921301623340e-002°)
1.00000000000000e-001	(-1.26756951526384e-005dB,-2.38510285167845e-003°)	(-2.80554798524275e-005dB,-7.43925808034086e-002°)
1.25892541179417e-001	(-1.26778722224685e-005dB,-3.00266658947903e-003°)	(-3.00629761313431e-005dB,-9.36547034489173e-002°)
1.58489319246111e-001	(-1.26813226422901e-005dB,-3.78013327215821e-003°)	(-3.32446423668679e-005dB,-1.17904272192042e-001°)
1.99526231496888e-001	(-1.26867911902960e-005dB,-4.75890583532635e-003°)	(-3.82872411398359e-005dB,-1.48432656659900e-001°)
2.51188643150958e-001	(-1.26954582600009e-005dB,-5.99110748650794e-003°)	(-4.62792156391304e-005dB,-1.86865588017328e-001°)
3.16227766016838e-001	(-1.27091946378648e-005dB,-7.54235745572433e-003°)	(-5.89456265921822e-005dB,-2.35249726823582e-001°)
3.98107170553498e-001	(-1.27309653285605e-005dB,-9.49526545820310e-003°)	(-7.90204973552230e-005dB,-2.96161638697371e-001°)
5.01187233627273e-001	(-1.27654695530857e-005dB,-1.19538309618126e-002°)	(-1.10836928609731e-004dB,-3.72844972964101e-001°)
6.30957344480194e-001	(-1.28201550531159e-005dB,-1.50489815356886e-002°)	(-1.61262335863327e-004dB,-4.69383133232484e-001°)
7.94328234724282e-001	(-1.29068257403132e-005dB,-1.89455452161854e-002°)	(-2.41180622625180e-004dB,-5.90916602685389e-001°)
1.00000000000000e+000	(-1.30441895155576e-005dB,-2.38510281918105e-002°)	(-3.67841069370523e-004dB,-7.43916432502944e-001°)
1.25892541179417e+000	(-1.32618964304735e-005dB,-3.00266652463814e-002°)	(-5.68580576720240e-004dB,-9.36528328106627e-001°)
1.58489319246112e+000	(-1.36069386403035e-005dB,-3.78013314278351e-002°)	(-8.86721779839557e-004dB,-1.17900539860694e+000°)
1.99526231496888e+000	(-1.41537936878609e-005dB,-4.75890557718950e-002°)	(-1.39091780733136e-003dB,-1.48425209941209e+000°)
2.51188643150958e+000	(-1.50205005293172e-005dB,-5.99110697145602e-002°)	(-2.18995488451936e-003dB,-1.86850730686669e+000°)
3.16227766016838e+000	(-1.63941383164820e-005dB,-7.54235642805683e-002°)	(-3.45619319164930e-003dB,-2.35220085164846e+000°)
3.98107170553498e+000	(-1.85712074920056e-005dB,-9.49526340772486e-002°)	(-5.46266870519617e-003dB,-2.96102504074285e+000°)
5.01187233627273e+000	(-2.20216296478980e-005dB,-1.19538268705326e-001°)	(-8.64177167578995e-003dB,-3.72727009993329e+000°)
6.30957344480194e+000	(-2.74901803061225e-005dB,-1.50489733723920e-001°)	(-1.36779349131343e-002dB,-4.69147848687009e+000°)
7.94328234724283e+000	(-3.61572491897416e-005dB,-1.89455289278886e-001°)	(-2.16537563540033e-002dB,-5.90447408986038e+000°)
1.00000000000000e+001	(-4.98936280454746e-005dB,-2.38509956911910e-001°)	(-3.42796415053295e-002dB,-7.42981090970530e+000°)
1.25892541179417e+001	(-7.16643221330494e-005dB,-3.00266003953571e-001°)	(-5.42529098736816e-002dB,-9.34664671917246e+000°)
1.58489319246112e+001	(-1.06168548057646e-004dB,-3.78012020212021e-001°)	(-8.58148951933087e-002dB,-1.17529508876426e+001°)
